Date,Load,Zone
1/1/2017 2:00:00 PM,774,Mhk Vl
1/1/2017 2:00:00 PM,322,Millwd
1/1/2017 2:00:00 PM,5206,N.Y.C.
1/1/2017 2:00:00 PM,566,North
1/1/2017 2:00:00 PM,1579,West
1/1/2017 2:00:00 PM,16392,NYISO
1/1/2017 3:00:00 PM,1364,Capitl
1/1/2017 3:00:00 PM,1673,Centrl
1/1/2017 3:00:00 PM,665,Dunwod
1/1/2017 3:00:00 PM,987,Genese
1/1/2017 3:00:00 PM,1073,Hud Vl
1/1/2017 3:00:00 PM,2271,Longil
1/1/2017 3:00:00 PM,782,Mhk Vl
1/1/2017 3:00:00 PM,327,Millwd
1/1/2017 3:00:00 PM,5224,N.Y.C.
1/1/2017 3:00:00 PM,567,North
1/1/2017 3:00:00 PM,1596,West
1/1/2017 3:00:00 PM,16529,NYISO
1/1/2017 4:00:00 PM,1441,Capitl
1/1/2017 4:00:00 PM,1768,Centrl
1/1/2017 4:00:00 PM,692,Dunwod
1/1/2017 4:00:00 PM,1050,Genese
1/1/2017 4:00:00 PM,1142,Hud Vl
1/1/2017 4:00:00 PM,2414,Longil
1/1/2017 4:00:00 PM,839,Mhk Vl
1/1/2017 4:00:00 PM,346,Millwd
1/1/2017 4:00:00 PM,5302,N.Y.C.
1/1/2017 4:00:00 PM,581,North
1/1/2017 4:00:00 PM,1659,West
1/1/2017 4:00:00 PM,17234,NYISO
1/1/2017 5:00:00 PM,1539,Capitl
1/1/2017 5:00:00 PM,1928,Centrl
1/1/2017 5:00:00 PM,746,Dunwod
1/1/2017 5:00:00 PM,1164,Genese
1/1/2017 5:00:00 PM,1257,Hud Vl
1/1/2017 5:00:00 PM,2657,Longil
1/1/2017 5:00:00 PM,913,Mhk Vl
1/1/2017 5:00:00 PM,388,Millwd
1/1/2017 5:00:00 PM,5480,N.Y.C.
1/1/2017 5:00:00 PM,599,North
1/1/2017 5:00:00 PM,1785,West
1/1/2017 5:00:00 PM,18456,NYISO
1/1/2017 6:00:00 PM,1532,Capitl
1/1/2017 6:00:00 PM,1941,Centrl
1/1/2017 6:00:00 PM,755,Dunwod
1/1/2017 6:00:00 PM,1166,Genese
1/1/2017 6:00:00 PM,1272,Hud Vl
1/1/2017 6:00:00 PM,2675,Longil
1/1/2017 6:00:00 PM,899,Mhk Vl
1/1/2017 6:00:00 PM,398,Millwd
1/1/2017 6:00:00 PM,5576,N.Y.C.
1/1/2017 6:00:00 PM,602,North
1/1/2017 6:00:00 PM,1815,West
1/1/2017 6:00:00 PM,18631,NYISO
1/1/2017 7:00:00 PM,1508,Capitl
1/1/2017 7:00:00 PM,1916,Centrl
1/1/2017 7:00:00 PM,750,Dunwod
1/1/2017 7:00:00 PM,1153,Genese
1/1/2017 7:00:00 PM,1251,Hud Vl
1/1/2017 7:00:00 PM,2648,Longil
1/1/2017 7:00:00 PM,885,Mhk Vl
1/1/2017 7:00:00 PM,397,Millwd
1/1/2017 7:00:00 PM,5623,N.Y.C.
1/1/2017 7:00:00 PM,597,North
1/1/2017 7:00:00 PM,1811,West
1/1/2017 7:00:00 PM,18539,NYISO
1/1/2017 8:00:00 PM,1475,Capitl
1/1/2017 8:00:00 PM,1865,Centrl
1/1/2017 8:00:00 PM,744,Dunwod
1/1/2017 8:00:00 PM,1126,Genese
1/1/2017 8:00:00 PM,1229,Hud Vl
1/1/2017 8:00:00 PM,2613,Longil
